	CODE	NAME	TYPE	RELEVANCE	HRS
153	DES.dd.3	Design of networked and mobile systems	Application	Essential	
154	DES.dd.4	Design notations (e.g., class and object diagrams, UML, state diagrams, and formal specification)	Comprehension	Essential	
155	DES.ev	Design evaluation			3.0
156	DES.ev.1	Design attributes (e.g., coupling, cohesion, information hiding, and separation of concerns)	Knowledge	Essential	
157	DES.ev.2	Design metrics	Application	Essential	
158	VAV	Software verification and validation			37.0
159	VAV.fnd	V&V terminology and foundations			5.0
160	VAV.fnd.1	V&V objectives and constraints	Knowledge	Essential	
161	VAV.fnd.2	Planning the V&V effort	Knowledge	Essential	
162	VAV.fnd.3	Documenting V&V strategy, including tests and other artifacts	Application	Essential	
163	VAV.fnd.4	Metrics and measurement (e.g., reliability, usability, and performance)	Knowledge	Essential	
164	VAV.fnd.5	V&V involvement at different points in the life cycle	Knowledge	Essential	
165	VAV.rev	Reviews and static analysis			9.0
166	VAV.rev.1	Personal reviews (design, code, etc.)	Application	Essential	
167	VAV.rev.2	Peer reviews (inspections, walkthroughs, etc.)	Application	Essential	
168	VAV.rev.3	Static analysis (common defect detection, checking against formal specifications, etc.)	Application	Essential	
169	VAV.tst	Testing			18.0
170	VAV.tst.1	Unit testing and test-driven development	Application	Essential	
171	VAV.tst.2	Exception handling (testing edge cases and boundary conditions)	Application	Essential	
172	VAV.tst.3	Coverage analysis and structure-based testing	Application	Essential	
173	VAV.tst.4	Black-box functional testing techniques	Application	Essential	
174	VAV.tst.5	Integration testing	Comprehension	Essential	
175	VAV.tst.6	Developing test cases based on use cases and/or user stories	Application	Essential	
176	VAV.tst.7	Testing based on operational profiles (e.g., most-used operations first)	Knowledge	Essential	
177	VAV.tst.8	System and acceptance testing	Application	Essential	
178	VAV.tst.9	Testing across quality attributes (e.g., usability, security, compatibility, and accessibility)	Application	Essential	
179	VAV.tst.10	Regression testing	Comprehension	Essential	
180	VAV.tst.11	Testing tools and automation	Application	Essential	
181	VAV.tst.12	User interface testing	Knowledge	Essential	
182	VAV.tst.13	Usability testing	Application	Essential	
183	VAV.tst.14	Performance testing	Knowledge	Essential	
184	VAV.par	Problem analysis and reporting			5.0
185	VAV.par.1	Analyzing failure reports	Comprehension	Essential	
186	VAV.par.2	Debugging and fault isolation techniques	Application	Essential	
187	VAV.par.3	Defect analysis (e.g., identifying product or process root cause for critical defect injection or late detection)	Knowledge	Essential	
188	VAV.par.4	Problem tracking	Comprehension	Essential	
189	PRO	Software process			33.0
190	PRO.con	Process concepts			3.0
191	PRO.con.1	Themes and terminology	Knowledge	Essential	
192	PRO.con.2	Software engineering process infrastructure (e.g., personnel, tools, and training)	Knowledge	Essential	
193	PRO.con.3	Modeling and specification of software processes	Comprehension	Essential	
194	PRO.con.4	Measurement and analysis of software processes	Comprehension	Essential	
195	PRO.con.5	Software engineering process improvement (individual, team, and organization)	Comprehension	Essential	
196	PRO.con.6	Quality analysis and control (e.g., defect prevention, review processes, quality metrics, and root cause analysis of critical defects to improve processes and practices)	Comprehension	Essential	
197	PRO.con.7	Systems engineering life-cycle models		Desirable	
198	PRO.imp	Process implementation			8.0
199	PRO.imp.1	Levels of process definition (e.g., organization, project, team, and individual)	Knowledge	Essential	
200	PRO.imp.2	Life-cycle model characteristics (e.g., plan-based, incremental, iterative, and agile)	Comprehension	Essential	
201	PRO.imp.3	Individual software process (model, definition, measurement, analysis, and improvement)	Application	Essential	
202	PRO.imp.4	Team process (model, definition, organization, measurement, analysis, and improvement)	Application	Essential	
203	PRO.imp.5	Software process implementation in the context of systems engineering	Knowledge	Essential	
204	PRO.imp.6	Process tailoring	Knowledge	Essential	
205	PRO.imp.7	Effect of external factors (e.g., contract and legal requirements, standards, and acquisition practices) on software process	Knowledge	Essential	
206	PRO.pp	Project planning and tracking			8.0
207	PRO.pp.1	Requirements management (e.g., product backlog, priorities, dependencies, and changes)	Application	Essential	
208	PRO.pp.2	Effort estimation (e.g., use of historical data and consensus-based estimation techniques)	Application	Essential	
209	PRO.pp.3	Work breakdown and task scheduling	Application	Essential	
210	PRO.pp.4	Resource allocation	Comprehension	Essential	
211	PRO.pp.5	Risk management (e.g., identification, mitigation, remediation, and status tracking)	Application	Essential	
212	PRO.pp.6	Project tracking metrics and techniques (e.g., earned value, velocity, burndown charts, defect tracking, and management of technical debt)	Application	Essential	
213	PRO.pp.7	Team self-management (e.g., progress tracking, dynamic workload allocation, and response to emergent issues)	Application	Essential	
214	PRO.cm	Software configuration management			6.0
215	PRO.cm.1	Revision control	Application	Essential	
216	PRO.cm.2	Release management	Comprehension	Essential	
217	PRO.cm.3	Configuration management tools	Comprehension	Essential	
218	PRO.cm.4	Build processes and tools, including automated testing and continuous integration	Application	Essential	
219	PRO.cm.5	Software configuration management processes	Knowledge	Essential	
220	PRO.cm.6	Maintenance issues	Knowledge	Essential	
221	PRO.cm.7	Distribution and backup		Desirable	
222	PRO.evo	Evolution processes and activities			8.0
223	PRO.evo.1	Basic concepts of evolution and maintenance	Knowledge	Essential	
224	PRO.evo.2	Working with legacy systems	Knowledge	Essential	
225	PRO.evo.3	Refactoring	Comprehension	Essential	
226	QUA	Software quality			10.0
227	QUA.cc	Software quality concepts and culture			2.0
228	QUA.cc.1	Definitions of quality	Knowledge	Essential	
229	QUA.cc.2	Society̥s concern for quality	Knowledge	Essential	
230	QUA.cc.3	The costs and impacts of bad quality	Knowledge	Essential	
231	QUA.cc.4	A cost of quality model	Comprehension	Essential	
232	QUA.cc.5	Quality attributes for software (e.g., dependability, usability, and safety)	Knowledge	Essential	
233	QUA.cc.6	Roles of people, processes, methods, tools, and technology	Knowledge	Essential	
234	QUA.pca	Process assurance			4.0
235	QUA.pca.1	The nature of process assurance	Knowledge	Essential	
236	QUA.pca.2	Quality planning	Knowledge	Essential	
237	QUA.pca.3	Process assurance techniques	Knowledge	Essential	
238	QUA.pda	Product assurance			4.0
239	QUA.pda.1	The nature of product assurance	Knowledge	Essential	
240	QUA.pda.2	Distinctions between assurance and V&V	Knowledge	Essential	
241	QUA.pda.3	Quality product models	Knowledge	Essential	
242	QUA.pda.4	Root cause analysis and defect prevention	Comprehension	Essential	
243	QUA.pda.5	Quality product metrics and measurement	Comprehension	Essential	
244	QUA.pda.6	Assessment of product quality attributes (e.g., usability, reliability, and availability)	Comprehension	Essential	
245	SEC	Security			20.0
246	SEC.sfd	Security fundamentals			4.0
247	SEC.sfd.1	Information assurance concepts (confidentiality, integrity, and availability)	Knowledge	Essential	
248	SEC.sfd.2	Nature of threats (e.g., natural, intentional, and accidental)	Knowledge	Essential	
249	SEC.sfd.3	Encryption, digital signatures, message authentication, and hash functions	Comprehension	Essential	
250	SEC.sfd.4	Common cryptographic protocols (applications, strengths, and weaknesses)	Comprehension	Essential	
251	SEC.sfd.5	Nontechnical security issues (e.g., social engineering)	Comprehension	Essential	
252	SEC.net	Computer and network security			8.0
253	SEC.net.1	Network security threats and attacks	Knowledge	Essential	
254	SEC.net.2	Use of cryptography for network security	Knowledge	Essential	
255	SEC.net.3	Protection and defense mechanisms and tools	Comprehension	Essential	
256	SEC.dev	Developing secure software			8.0
257	SEC.dev.1	Building security into the software development life cycle	Comprehension	Essential	
258	SEC.dev.2	Security in requirements analysis and specification	Application	Essential	
259	SEC.dev.3	Secure design principles and patterns	Application	Essential	
260	SEC.dev.4	Secure software construction techniques	Application	Essential	
261	SEC.dev.5	Security-related verification and validation	Application	Essential	
